nombre,descripcion,precio_venta_actual,id_marca,id_categoria
Buzo Ultra v8,Indumentaria deportiva serie 0 para alto rendimiento.,141377.35,1,4
Calza Elite v59,Indumentaria deportiva serie 1 para alto rendimiento.,85658.91,1,3
Campera Dry-Fit v90,Indumentaria deportiva serie 2 para alto rendimiento.,135191.46,3,3
Remera Basic v30,Indumentaria deportiva serie 3 para alto rendimiento.,70034.64,3,1
Short Elite v6,Indumentaria deportiva serie 4 para alto rendimiento.,34239.61,1,1
Short Tech v30,Indumentaria deportiva serie 5 para alto rendimiento.,65967.41,1,4
Calza Dry-Fit v97,Indumentaria deportiva serie 6 para alto rendimiento.,46716.07,2,2
Short Training v73,Indumentaria deportiva serie 7 para alto rendimiento.,146569.37,3,4
Campera Training v72,Indumentaria deportiva serie 8 para alto rendimiento.,103275.62,3,3
Remera Ultra v69,Indumentaria deportiva serie 9 para alto rendimiento.,138312.85,2,3
Medias Basic v21,Indumentaria deportiva serie 10 para alto rendimiento.,32638.83,2,2
Short Elite v11,Indumentaria deportiva serie 11 para alto rendimiento.,123350.63,1,3
Pantalón Ultra v94,Indumentaria deportiva serie 12 para alto rendimiento.,136184.47,3,3
Campera Basic v80,Indumentaria deportiva serie 13 para alto rendimiento.,83422.3,3,3
Short Elite v19,Indumentaria deportiva serie 14 para alto rendimiento.,128597.8,2,4
Campera Training v65,Indumentaria deportiva serie 15 para alto rendimiento.,91133.66,1,2
Remera Pro v44,Indumentaria deportiva serie 16 para alto rendimiento.,127189.47,3,2
Remera Elite v17,Indumentaria deportiva serie 17 para alto rendimiento.,137824.44,3,2
Calza Compression v91,Indumentaria deportiva serie 18 para alto rendimiento.,133156.36,1,1
Top Tech v58,Indumentaria deportiva serie 19 para alto rendimiento.,34442.77,3,4
Short Training v35,Indumentaria deportiva serie 20 para alto rendimiento.,68438.46,3,4
Campera Compression v96,Indumentaria deportiva serie 21 para alto rendimiento.,112685.25,2,1
Buzo Compression v40,Indumentaria deportiva serie 22 para alto rendimiento.,73159.45,1,1
Short Dry-Fit v23,Indumentaria deportiva serie 23 para alto rendimiento.,72245.55,1,5
Buzo Aeroswift v94,Indumentaria deportiva serie 24 para alto rendimiento.,77122.62,3,4
Pantalón Compression v5,Indumentaria deportiva serie 25 para alto rendimiento.,53475.08,3,4
Campera Dry-Fit v85,Indumentaria deportiva serie 26 para alto rendimiento.,54661.55,1,2
Remera Training v94,Indumentaria deportiva serie 27 para alto rendimiento.,129254.65,2,5
Medias Tech v28,Indumentaria deportiva serie 28 para alto rendimiento.,141803.39,3,4
Pantalón Pro v48,Indumentaria deportiva serie 29 para alto rendimiento.,58352.35,1,4
Pantalón Ultra v79,Indumentaria deportiva serie 30 para alto rendimiento.,53644.95,3,2
Pantalón Ultra v3,Indumentaria deportiva serie 31 para alto rendimiento.,86555.39,1,2
Campera Dry-Fit v9,Indumentaria deportiva serie 32 para alto rendimiento.,56337.17,2,3
Short Basic v96,Indumentaria deportiva serie 33 para alto rendimiento.,146092.2,1,3
Pantalón Basic v13,Indumentaria deportiva serie 34 para alto rendimiento.,137236.6,1,4
Remera Compression v84,Indumentaria deportiva serie 35 para alto rendimiento.,131435.94,3,1
Campera Tech v2,Indumentaria deportiva serie 36 para alto rendimiento.,93281.78,3,5
Top Dry-Fit v1,Indumentaria deportiva serie 37 para alto rendimiento.,40667.7,2,1
Buzo Pro v39,Indumentaria deportiva serie 38 para alto rendimiento.,138941.12,2,1
Short Dry-Fit v21,Indumentaria deportiva serie 39 para alto rendimiento.,52476.5,2,5
Campera Elite v46,Indumentaria deportiva serie 40 para alto rendimiento.,69376.09,2,1
Short Tech v96,Indumentaria deportiva serie 41 para alto rendimiento.,64981.0,2,5
Zapatillas Tech v82,Indumentaria deportiva serie 42 para alto rendimiento.,62618.54,1,5
Campera Training v86,Indumentaria deportiva serie 43 para alto rendimiento.,42746.17,1,2
Short Dry-Fit v7,Indumentaria deportiva serie 44 para alto rendimiento.,80698.92,3,3
Zapatillas Ultra v44,Indumentaria deportiva serie 45 para alto rendimiento.,123802.69,2,5
Calza Basic v42,Indumentaria deportiva serie 46 para alto rendimiento.,79822.99,3,3
Calza Pro v97,Indumentaria deportiva serie 47 para alto rendimiento.,90362.85,1,5
Top Ultra v85,Indumentaria deportiva serie 48 para alto rendimiento.,57702.43,2,5
Short Ultra v35,Indumentaria deportiva serie 49 para alto rendimiento.,83941.5,1,2
Short Pro v64,Indumentaria deportiva serie 50 para alto rendimiento.,133315.86,2,3
Short Basic v20,Indumentaria deportiva serie 51 para alto rendimiento.,112456.18,1,1
Remera Ultra v17,Indumentaria deportiva serie 52 para alto rendimiento.,118155.57,1,2
Campera Elite v86,Indumentaria deportiva serie 53 para alto rendimiento.,70722.15,2,3
Remera Ultra v40,Indumentaria deportiva serie 54 para alto rendimiento.,66831.54,3,1
Pantalón Compression v10,Indumentaria deportiva serie 55 para alto rendimiento.,64863.43,2,1
Short Elite v69,Indumentaria deportiva serie 56 para alto rendimiento.,36141.68,2,4
Top Dry-Fit v10,Indumentaria deportiva serie 57 para alto rendimiento.,131364.12,1,5
Campera Elite v37,Indumentaria deportiva serie 58 para alto rendimiento.,117189.61,1,5
Buzo Ultra v51,Indumentaria deportiva serie 59 para alto rendimiento.,148011.15,1,1
Short Tech v55,Indumentaria deportiva serie 60 para alto rendimiento.,33329.34,2,4
Zapatillas Basic v36,Indumentaria deportiva serie 61 para alto rendimiento.,24438.95,1,3
Campera Tech v79,Indumentaria deportiva serie 62 para alto rendimiento.,138790.75,3,3
Calza Training v50,Indumentaria deportiva serie 63 para alto rendimiento.,109481.49,2,5
Buzo Dry-Fit v70,Indumentaria deportiva serie 64 para alto rendimiento.,100986.43,3,4
Campera Ultra v57,Indumentaria deportiva serie 65 para alto rendimiento.,95240.62,1,5
Short Dry-Fit v49,Indumentaria deportiva serie 66 para alto rendimiento.,116171.05,1,4
Calza Ultra v12,Indumentaria deportiva serie 67 para alto rendimiento.,137558.58,3,3
Pantalón Training v98,Indumentaria deportiva serie 68 para alto rendimiento.,44547.58,2,1
Calza Compression v52,Indumentaria deportiva serie 69 para alto rendimiento.,100838.01,1,1
Remera Elite v79,Indumentaria deportiva serie 70 para alto rendimiento.,46637.45,3,3
Medias Tech v38,Indumentaria deportiva serie 71 para alto rendimiento.,81965.03,2,5
Remera Tech v68,Indumentaria deportiva serie 72 para alto rendimiento.,59042.17,1,3
Calza Elite v95,Indumentaria deportiva serie 73 para alto rendimiento.,128841.32,2,2
